Tone,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10
1,269.61,288.86,269.61,327.38,288.86,288.86,288.86,269.61,269.61,327.38
1,192.58,173.32,269.61,308.12,19.258,288.86,308.12,269.61,19.258,19.258
1,245,204.17,285.83,285.83,326.67,306.25,306.25,326.67,306.25,20.417
1,19.955,279.37,219.5,219.5,299.32,19.955,259.41,259.41,279.37,19.955
1,225.19,187.66,225.19,319.02,300.26,281.49,243.96,319.02,281.49,300.26
1,226.15,248.77,294,316.62,294,294,294,294,248.77,22.615
1,18.299,18.299,237.88,274.48,311.08,18.299,18.299,18.299,18.299,18.299
1,265.42,224.58,265.42,265.42,306.25,347.08,306.25,306.25,285.83,20.417
1,265.93,243.77,265.93,265.93,265.93,265.93,265.93,265.93,265.93,22.161
1,247.29,247.29,288.5,247.29,247.29,267.9,288.5,267.9,267.9,20.607
1,247.29,309.11,247.29,267.9,247.29,247.29,226.68,226.68,20.607,20.607
1,259.41,219.5,259.41,319.28,259.41,279.37,279.37,279.37,319.28,19.955
1,218.51,178.78,218.51,297.97,238.38,238.38,258.24,258.24,258.24,278.11
1,223.55,243.87,264.19,284.52,284.52,304.84,325.16,304.84,243.87,243.87
1,22.273,200.45,334.09,289.55,289.55,311.82,334.09,334.09,289.55,22.273
1,14.412,273.82,288.24,259.41,14.412,273.82,0,14.412,0,0
1,275.63,275.63,296.83,296.83,318.03,318.03,318.03,318.03,296.83,21.202
1,275.63,300.68,275.63,300.68,300.68,325.74,275.63,25.057,250.57,0
1,22.273,0,0,22.273,289.55,311.82,311.82,22.273,289.55,22.273
1,0,0,0,19.427,19.427,271.98,271.98,291.41,233.13,271.98
1,0,20.045,320.73,320.73,300.68,280.64,260.59,260.59,220.5,20.045
1,18.452,0,0,18.452,313.68,18.452,18.452,18.452,18.452,18.452
1,21.1,0,0,295.41,295.41,295.41,295.41,295.41,274.31,253.21
1,0,0,0,18.608,18.608,18.608,279.11,18.608,18.608,18.608
1,22.273,22.273,0,22.273,356.36,356.36,289.55,267.27,289.55,334.09
1,0,0,0,316.33,316.33,260.51,297.72,297.72,279.11,18.608
